codigo	descricao	unidade_medida	cpc	codigo_secao	codigo_divisao	codigo_grupo	codigo_classe	codigo_subclasse	id	offset	item_filename
493	Estudos e Projetos de Sistemas de Aquecimento                                                                           	UN	8319	8	83	831	8319		493	0	servicos.servicos
507	Estudos e Projetos de Sistemas de Refrigeração                                                                          	UN	8319	8	83	831	8319		507	0	servicos.servicos
515	Estudos e Projetos de Sistemas de Tubulações Industriais                                                                	UN	8319	8	83	831	8319		515	0	servicos.servicos
523	Estudos e Projetos de Sistemas de Proteção Contra   Incêncio                                                            	UN	8319	8	83	831	8319		523	0	servicos.servicos
531	Estudos e Projetos de Instrumentação e Controle                                                                         	UN	8319	8	83	831	8319		531	0	servicos.servicos
540	ESTUDOS E PROJETOS DE SUBESTAÇÕES DE ENERGIA ELÉTRICA                                                                   								540	0	servicos.servicos
558	ESTUDOS E PROJETOS DE INSTALAÇÃO DE LINHAS DE TRANSMISSÃO DE ENERGIA ELÉTRICA                                           								558	0	servicos.servicos
566	Estudos e Projetos de Instalação de Linhas de   distribuiçãoEnergia Elétrica                                            	UN	8319	8	83	831	8319		566	0	servicos.servicos
574	Estudos e Projetos de Sistemas de Aterramento e Proteção Contra Descarga Atmosféricas                                   	UN	8319	8	83	831	8319		574	0	servicos.servicos
582	Estudos e Projetos de Telecomunicações - Transmissão                                                                    	UN	8319	8	83	831	8319		582	0	servicos.servicos
590	Estudos e Projetos de Comutação Telefônica                                                                              	UN	8319	8	83	831	8319		590	0	servicos.servicos
604	Estudos e Projetos de Comutação Telegráfica                                                                             	UN	8319	8	83	831	8319		604	0	servicos.servicos
612	Estudos e Projetos de Comunicação de Dados                                                                              	UN	8319	8	83	831	8319		612	0	servicos.servicos
620	Estudos e Projetos de Redes de Telecomunicações                                                                         	UN	8319	8	83	831	8319		620	0	servicos.servicos
639	Estudos e Projetos de Sistemas de Sinalização    Ferroviária                                                            	UN	8319	8	83	831	8319		639	0	servicos.servicos
5495	Análise Química Bromatológica                                                                                           	UN	9311	9	93	931	9311		5495	500	servicos.servicos
5509	"Instalação de Equipamento Gráfico e Reprográfico ""Inativo""                                                              "	UN	97990	9	97	979	9799	97990	5509	500	servicos.servicos
5517	Manutenção e Reparo de Equipamento Áudio / Visual                                                                       	UN	8715	8	87	871	8715		5517	500	servicos.servicos
5525	Câmbio - Moeda Estrangeira                                                                                              	UN	711	7	71	711			5525	500	servicos.servicos
5533	Despacho de Carga / Encomenda Via  Aérea / Terrestre - Nacional/Internacional                                           	UN	679	6	67	679			5533	500	servicos.servicos
5541	Ortopedia                                                                                                               	UN	9312	9	93	931	9312		5541	500	servicos.servicos
5550	Radiologia Óssea                                                                                                        	UN	9312	9	93	931	9312		5550	500	servicos.servicos
5568	Fisioterapia                                                                                                            	UN	9319	9	93	931	9319		5568	500	servicos.servicos
5576	Banco de Dados - Programa ( Software ) de Gerenciamento                                                                 	UN	1821	1	18	182	1821		5576	500	servicos.servicos
5584	Instalação de Película de Proteção                                                                                      	UNM2	5469	5	54	546	5469		5584	500	servicos.servicos
5592	Instalação / Manutenção Hidrossanitárias                                                                                	UN	8711	8	87	871	8711		5592	500	servicos.servicos
5606	Instalação / Manutenção Elétrica - Predial, Industrial                                                                  	UN	5461	5	54	546	5461		5606	500	servicos.servicos
5614	PROGRAMA (SOFTWARE) DE GERENCIAMENTO DE REDE                                                                            	UN	73310	7	73	733	7331	73310	5614	500	servicos.servicos
5622	Obras Civis Públicas ( Construção )                                                                                     	UN	542	5	54	542			5622	500	servicos.servicos
5630	Serviço Imobiliário                                                                                                     	UN	722	7	72	722			5630	500	servicos.servicos
5649	Enrolamento ( Rebobinamento ) de Campo de Gerador Elétrico                                                              	UN	8715	8	87	871	8715		5649	500	servicos.servicos
5657	Enrolamento de Campo de Motor Elétrico                                                                                  	UN	871	8	87	871			5657	500	servicos.servicos
5665	Enrolamento do Rotor do Gerador Elétrico                                                                                	UN	8715	8	87	871	8715		5665	500	servicos.servicos
5673	Rede - Programa ( Software ) de Gerenciamento                                                                           	UN	73310	7	73	733	7331	73310	5673	500	servicos.servicos
5681	Diagnose e Terapia - Radiodianóstico                                                                                    	UN	9311	9	93	931	9311		5681	500	servicos.servicos
5690	Diagnose e Terapia - Ressonância Magnética                                                                              	UN	9311	9	93	931	9311		5690	500	servicos.servicos
5703	Diagnose e Terapia - Tomografia Computadorizada                                                                         	UN	9311	9	93	931	9311		5703	500	servicos.servicos
5711	Diagnose e Terapia - Ultra-Sonografia                                                                                   	UN	9311	9	93	931	9311		5711	500	servicos.servicos
