codigo	descricao	codigo_grupo	id	offset	item_filename
7110	SERVIÇOS DE INTERMEDIAÇÃO FINANCEIRA,EXCETO SERVIÇO BANCÁRIODE INVESTIMENTO,SERVIÇOS DE SEGUROS E DE PENSÕES            	711	7110	0	servicos.classes
7120	SERVIÇOS BANCÁRIO DE INVESTIMENTO                                                                                       	712	7120	0	servicos.classes
7131	SERVIÇOS DE SEGUROS DE VIDA E DE PENSÕES(EXCETO SERVIÇOS DE RESEGURO)                                                   	713	7131	0	servicos.classes
7132	SERVIÇOS DE SEGUROS DE ACIDENTES E DE SAÚDE                                                                             	713	7132	0	servicos.classes
7133	SERVIÇOS DE SEGUROS DE TRANSPORTE MARÍTIMO, AÉREO, VEÍCULOS À MOTOR, DE FRETE, DE PROPRIEDADE/BENS INDIVIDUAIS          	713	7133	0	servicos.classes
7134	SERVIÇOS RELATIVOS A PREVIDÊNCIA COMPLEMENTAR                                                                           	713	7134	0	servicos.classes
7151	SERVIÇOS RELACIONADOS A OPERAÇÕES BANCÁRIAS DE INVESTIMENTOS                                                            	715	7151	0	servicos.classes
7152	SERVIÇOS DE CORRETAGEM E SEGUROS E PRODUTOS CONEXOS                                                                     	715	7152	0	servicos.classes
7153	SERVIÇOS DE ADMINISTRAÇÃO DE CARTEIRAS,DE CONFIANÇA(FIDUCIÁ-RIA) E SERVIÇO DE CUSTÓDIA                                  	715	7153	0	servicos.classes
7154	SERVIÇOS RELACIONADOS COM A ADMINISTRAÇÃO DE MERCADOS FINAN-CEIROS                                                      	715	7154	0	servicos.classes
7155	OUTROS SERVIÇOS AUXILIARES DA INTERMEDIAÇÃO FINANCEIRA                                                                  	715	7155	0	servicos.classes
7211	SERVIÇOS DE ARRENDAMENTO OU LEASING RELATIVOS A BENS REAIS  PRÓPRIOS OU ARRENDADOS, RESIDENCIAIS E NÃO RESIDENCIAIS     	721	7211	0	servicos.classes
7212	SERVIÇOS COMERCIAIS ASSOCIADOS COM EDIFÍCIOS E TERRENOS                                                                 	721	7212	0	servicos.classes
7213	SERVIÇOS COMERCIAIS ASSOCIADOS COM TERRENOS DESOCUPADOS E   SUBDIVIDIDOS                                                	721	7213	0	servicos.classes
7217	SERVIÇOS DE ESTACIONAMENTO DE VEÍCULOS AUTOMOTORES - GERÊNCI                                                            	721	7217	0	servicos.classes
7218	SERVIÇOS DE CONSULTORIA E ASSESSORIA IMOBILIÁRIA                                                                        	721	7218	0	servicos.classes
7219	SERVIÇOS IMOBILIÁRIOS RELATIVOS A LOCAÇÃO OU ARRENDAMENTO                                                               	721	7219	0	servicos.classes
7221	SERVIÇOS DE ADMINISTRAÇÃO DE PROPRIEDADES RESIDENCIAIS E NÃORESIDENCIAIS COMISSIONADOS OU POR CONTRATO                  	722	7221	0	servicos.classes
7222	VENDA DE EDIFÍCIOS E TERRENOS CONEXOS COMISSIONADOS OU POR  CONTRATO                                                    	722	7222	0	servicos.classes
7223	VENDA DE TERRENOS COMISSIONADOS OU POR CONTRATO                                                                         	722	7223	0	servicos.classes
7224	SERVIÇOS DE AVALIAÇÃO DE PROPRIEDADES COMISSIONADOS OU POR  CONTRATO                                                    	722	7224	0	servicos.classes
7311	SERVIÇOS DE LEASING OU ALUGUEL VEÍCULOS A MOTOR, FERROVIÁRIOEMBARCAÇÕES, AERONAVES, DE EQUIPAMENTO DE TRANSPORTE, S/OPER	731	7311	0	servicos.classes
7312	SERVIÇOS DE LEASING OU ALUGUEL DE OUTROS TIPOS DE MAQUINARIAE EQUIPAMENTO SEM OPERADOR                                  	731	7312	0	servicos.classes
7321	SERVIÇOS DE LEASING OU ALUGUEL DE TELEVISORES, RADIOS, GRAVADORES DE VÍDEO E EQUIPAMENTOS E ACESSÓRIOS CORRELATOS       	732	7321	0	servicos.classes
7322	SERVIÇOS DE LEASING OU ALUGUEL DE FITAS DE VÍDEO                                                                        	732	7322	0	servicos.classes
7323	SERVIÇOS DE LEASING OU ALUGUEL DE MÓVEIS E OUTROS UTENSÍLIOSE APARELHOS DOMÉSTICOS                                      	732	7323	0	servicos.classes
7324	SERVIÇOS DE LEASING OU ALUGUEL DE EQUIPAMENTOS DE RECREAÇÃO E RELAXAMENTO.                                              	732	7324	0	servicos.classes
7325	SERVIÇOS DE LEASING OU ALUGUEL DE ROUPA BRANCA PARA O LAR                                                               	732	7325	0	servicos.classes
7326	SERVIÇOS DE LEASING OU ALUGUEL DE TÊXTEIS, ROUPAS E CALÇADOS                                                            	732	7326	0	servicos.classes
7327	SERVIÇOS DE LEASING OU ALUGUEL DE MAQUINARIA E EQUIPAMENTOS DE ARTESANATO                                               	732	7327	0	servicos.classes
7329	SERVIÇOS DE LEASING OU ALUGUEL DE OUTROS BENS N.C.P.                                                                    	732	7329	0	servicos.classes
7331	SERVIÇOS DE LICENÇA PELO DIREITO DE USO DE SOFTWARE                                                                     	733	7331	0	servicos.classes
7339	ASSINATURA DE BANCO DE DADOS DE INFORAÇÕES COMERCIAIS / CADA                                                            	733	7339	0	servicos.classes
8211	SERVIÇOS JURÍDICOS DE ASSESSORIA E REPRESENTAÇÃO NOS DIFERENTES CAMPOS DO DIREITO                                       	821	8211	0	servicos.classes
8213	SERVIÇOS DE DOCUMENTAÇÃO JURÍDICA E CERTIFICAÇÃO                                                                        	821	8213	0	servicos.classes
8221	CONTABILIDADE E SERVIÇOS DE AUDITORIA FINANCEIRA                                                                        	822	8221	0	servicos.classes
8231	SERVIÇOS DE ASSESSORIA/CONSULTORIA RELACIONADOS A TRIBUTAÇÃO                                                            	823	8231	0	servicos.classes
8311	SERVIÇOS DE CONSULTORIA EM GERÊNCIA/GESTÃO                                                                              	831	8311	0	servicos.classes
8312	SERVIÇOS DE CONSULTORIA PRESTADO ÀS EMPRESAS                                                                            	831	8312	0	servicos.classes
8313	SERVIÇOS DE CONSULTORIA CIENTÍFICA E TÉCNICA N.C.P                                                                      	831	8313	0	servicos.classes
8314	SERVIÇOS DE CONSULTORIA EM INFORMÁTICA                                                                                  	831	8314	0	servicos.classes
8315	SERVIÇOS DE GERÊNCIA/GESTÃO EM INSTALAÇÕES DE INFORMÁTICA                                                               	831	8315	0	servicos.classes
8316	SERVIÇOS DE MANUTENÇÃO DE SISTEMAS                                                                                      	831	8316	0	servicos.classes
8319	OUTROS SERVIÇOS DE GERÊNCIA/GESTÃO, EXCETO OS DE PROJETOS DECONSTRUÇÃO                                                  	831	8319	0	servicos.classes
8321	SERVIÇOS DE ARQUITETURA                                                                                                 	832	8321	0	servicos.classes
8322	SERVIÇOS DE PLANEJAMENTO URBANO E PAISAGISMO ARQUITETÔNICO                                                              	832	8322	0	servicos.classes
8331	SERVIÇOS INTEGRADOS DE ENGENHARIA                                                                                       	833	8331	0	servicos.classes
8332	SERVIÇOS DE GERÊNCIA/GESTÃO DE PROJETOS RELACIONADOS COM A  CONSTRUÇÃO                                                  	833	8332	0	servicos.classes
8333	SERVIÇOS DE ENGENHARIA DE ASSESSORAMENTO/CONSULTIVO E PRÉ-DESENHO/PRÉ-PROJETO                                           	833	8333	0	servicos.classes
8334	SERVIÇOS DE DESENHO/PROJETO DE ENGENHARIA                                                                               	833	8334	0	servicos.classes
8335	SERVIÇOS DE ENGENHARIA DURANTE A FASE DE CONSTRUÇÃO E DE INSTALAÇÃO                                                     	833	8335	0	servicos.classes
